feature_selected,n_iter,score,params
1,100,0.6583761232349166,{'reg_lambda': 1, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.4, 'gamma': 0.7, 'colsample_bytree': 0.5}
1,200,0.670250320924262,{'reg_lambda': 1.5, 'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 1.1, 'colsample_bytree': 0.4}
1,1000,0.6456996148908857,{'reg_lambda': 2, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.4}
1,1500,0.6456996148908857,{'reg_lambda': 2, 'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.3}
1,2000,0.6456996148908857,{'reg_lambda': 2, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.3}
2,100,0.7281746031746033,{'reg_lambda': 3, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.7, 'gamma': 1.1, 'colsample_bytree': 0.5}
2,200,0.7144660894660895,{'reg_lambda': 2, 'n_estimators': 150, 'max_depth': 6, 'learning_rate': 0.6, 'gamma': 1.1, 'colsample_bytree': 0.5}
2,1000,0.7171717171717172,{'reg_lambda': 1.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.4}
2,1500,0.7094155844155844,{'reg_lambda': 1.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.4, 'gamma': 1.1, 'colsample_bytree': 0.4}
2,2000,0.7281746031746033,{'reg_lambda': 3, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.7, 'gamma': 1.1, 'colsample_bytree': 0.5}
3,100,0.6789727126805778,{'reg_lambda': 2, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.4, 'gamma': 0.4, 'colsample_bytree': 0.7}
3,200,0.6811797752808988,{'reg_lambda': 2.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.7}
3,1000,0.6490770465489567,{'reg_lambda': 0, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.6, 'gamma': 1.1, 'colsample_bytree': 0.7}
3,1500,0.6201845906902087,{'reg_lambda': 0, 'n_estimators': 250, 'max_depth': 3, 'learning_rate': 0.7, 'gamma': 1.1, 'colsample_bytree': 0.7}
3,2000,0.6201845906902087,{'reg_lambda': 0, 'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.7, 'gamma': 1.1, 'colsample_bytree': 0.7}
4,100,0.7136837881219903,{'reg_lambda': 2.5, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.6, 'gamma': 1.1, 'colsample_bytree': 0.4}
4,200,0.6980337078651685,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 1.1, 'colsample_bytree': 0.4}
4,1000,0.7102728731942215,{'reg_lambda': 2.5, 'n_estimators': 20, 'max_depth': 3, 'learning_rate': 0.6, 'gamma': 1.1, 'colsample_bytree': 0.4}
4,1500,0.7002407704654896,{'reg_lambda': 0.5, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.6, 'gamma': 0.1, 'colsample_bytree': 0.3}
4,2000,0.716091492776886,{'reg_lambda': 1, 'n_estimators': 20, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.1, 'colsample_bytree': 0.3}
5,100,0.6718106995884774,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 5, 'learning_rate': 0.7, 'gamma': 0.4, 'colsample_bytree': 0.3}
5,200,0.6917009602194788,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 0.3}
5,1000,0.6814128943758574,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 5, 'learning_rate': 0.7, 'gamma': 0.1, 'colsample_bytree': 0.3}
5,1500,0.6941015089163237,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.4, 'gamma': 0.7, 'colsample_bytree': 0.3}
5,2000,0.6971879286694102,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 0.7, 'colsample_bytree': 0.3}
6,100,0.6548323471400395,{'reg_lambda': 0, 'n_estimators': 10, 'max_depth': 6, 'learning_rate': 0.7, 'gamma': 1.1, 'colsample_bytree': 0.3}
6,200,0.7158119658119657,{'reg_lambda': 0.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.4, 'colsample_bytree': 0.7}
6,1000,0.7276462853385931,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.6, 'gamma': 0.4, 'colsample_bytree': 0.3}
6,1500,0.688034188034188,{'reg_lambda': 0.5, 'n_estimators': 10, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 0.4, 'colsample_bytree': 0.3}
6,2000,0.7158119658119657,{'reg_lambda': 0.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.4, 'colsample_bytree': 0.7}
7,100,0.7455555555555555,{'reg_lambda': 1.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 0.5}
7,200,0.7466666666666667,{'reg_lambda': 3, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.7, 'gamma': 0.4, 'colsample_bytree': 0.3}
7,1000,0.7382539682539682,{'reg_lambda': 2.5, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.6, 'gamma': 1.1, 'colsample_bytree': 0.3}
7,1500,0.7357142857142858,{'reg_lambda': 2.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.6, 'gamma': 0.7, 'colsample_bytree': 0.3}
7,2000,0.7661904761904762,{'reg_lambda': 2, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.6, 'gamma': 0.4, 'colsample_bytree': 0.3}
8,100,0.7064138908575478,{'reg_lambda': 2.5, 'n_estimators': 10, 'max_depth': 4, 'learning_rate': 0.6, 'gamma': 0.7, 'colsample_bytree': 0.3}
8,200,0.7221828490432317,{'reg_lambda': 0.5, 'n_estimators': 20, 'max_depth': 4, 'learning_rate': 0.4, 'gamma': 0.7, 'colsample_bytree': 0.7}
8,1000,0.732813607370659,{'reg_lambda': 2.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.4, 'gamma': 0.4, 'colsample_bytree': 0.7}
8,1500,0.7078313253012047,{'reg_lambda': 1.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.4, 'colsample_bytree': 0.4}
8,2000,0.7078313253012047,{'reg_lambda': 1.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 0.4, 'colsample_bytree': 0.4}
